Type,Millis,Data1,Data2,Data3,Data4,Data5,Data6
IMU,34131,42,747,720,-7,-7,1
IMU,34141,43,745,720,-7,-7,1
IMU,34151,38,748,721,-7,-6,0
IMU,34161,37,751,720,-7,-6,0
IMU,34170,37,756,720,-7,-6,0
IMU,34180,39,756,718,-7,-6,0
IMU,34190,35,760,718,-7,-6,0
IMU,34200,32,764,718,-7,-7,0
IMU,34209,25,763,717,-7,-7,1
IMU,34219,24,761,723,-7,-7,1
IMU,34229,22,758,729,-7,-8,2
IMU,34239,29,759,733,-7,-8,2
IMU,34249,39,757,738,-7,-8,2
IMU,34258,39,754,734,-7,-8,2
IMU,34268,41,753,735,-7,-8,2
IMU,34278,37,754,731,-6,-8,2
IMU,34288,38,752,726,-6,-8,1
IMU,34297,39,752,723,-6,-8,1
IMU,34307,36,750,721,-6,-7,1
IMU,34317,26,751,718,-6,-7,1
IMU,34327,19,748,715,-6,-7,1
IMU,34336,17,747,716,-6,-7,1
IMU,34346,17,747,716,-6,-7,1
IMU,34356,17,749,714,-7,-8,2
IMU,34366,17,746,709,-7,-8,2
IMU,34375,26,746,724,-7,-8,3
IMU,34385,38,748,708,-7,-9,3
IMU,34395,48,747,729,-6,-9,3
IMU,34405,49,741,735,-7,-8,3
IMU,34415,54,750,724,-6,-9,3
IMU,34424,37,749,730,-7,-8,2
IMU,34434,42,753,721,-7,-8,2
IMU,34444,63,757,732,-7,-8,2
IMU,34454,57,754,726,-7,-7,1
IMU,34463,28,755,726,-7,-7,1
IMU,34473,28,758,727,-6,-7,1
IMU,34483,34,764,727,-7,-7,1
IMU,34493,47,762,724,-6,-7,1
IMU,34502,50,760,730,-7,-6,0
IMU,34512,62,759,736,-6,-5,0
IMU,34522,53,757,735,-6,-5,-1
IMU,34532,48,753,723,-6,-4,-1
IMU,34541,35,754,732,-6,-4,-2
IMU,34551,45,758,736,-6,-4,-2
IMU,34561,42,755,730,-6,-3,-3
IMU,34571,30,755,720,-6,-3,-3
IMU,34581,30,756,725,-6,-3,-3
IMU,34590,35,759,736,-6,-3,-3
IMU,34600,40,756,736,-6,-2,-4
IMU,34610,31,752,732,-5,-2,-4
IMU,34620,19,752,732,-6,-2,-4
IMU,34629,29,762,732,-6,-2,-5
IMU,34639,38,755,730,-5,-2,-5
IMU,34649,39,752,727,-6,-1,-5
IMU,34659,39,751,730,-5,-1,-5
IMU,34668,36,754,739,-6,-1,-6
IMU,34678,39,751,725,-5,-1,-6
IMU,34688,33,754,732,-5,-1,-6
IMU,34699,30,756,726,-5,-1,-6
IMU,34708,36,765,736,-5,0,-6
IMU,34717,40,764,725,-5,0,-7
IMU,34728,28,766,731,-5,0,-7
IMU,34737,22,760,725,-5,0,-8
IMU,34748,30,757,738,-5,0,-8
IMU,34757,27,751,729,-5,1,-8
IMU,34766,26,750,729,-4,1,-9
IMU,34777,25,751,725,-5,1,-9
IMU,34786,26,753,729,-5,1,-9
IMU,34795,23,754,724,-5,2,-9
IMU,34805,24,754,724,-5,2,-9
IMU,34815,24,753,724,-5,2,-10
IMU,34825,17,753,732,-5,2,-10
IMU,34834,9,750,727,-5,2,-10
IMU,34844,11,748,732,-5,2,-10
IMU,34854,18,766,706,-5,2,-10
IMU,34864,12,763,740,-4,2,-10
IMU,34874,7,760,728,-6,2,-9
IMU,34883,23,758,710,-4,2,-9
IMU,34893,28,760,747,-5,2,-9
IMU,34903,50,758,723,-4,1,-9
IMU,34913,46,749,753,-5,2,-10
IMU,34922,4,745,721,-5,2,-10
IMU,34932,5,752,740,-5,1,-9
IMU,34942,2,741,717,-5,1,-9
IMU,34952,0,741,726,-5,0,-7
IMU,34961,7,736,724,-5,0,-7
IMU,34971,-14,741,726,-5,0,-6
IMU,34981,-15,736,717,-5,-1,-6
IMU,34991,2,742,716,-5,-1,-5
IMU,35000,13,740,723,-5,-1,-4
IMU,35010,0,745,729,-6,-1,-4
IMU,35020,-4,746,712,-6,-2,-4
IMU,35030,5,755,717,-6,-2,-3
IMU,35040,22,756,706,-6,-3,-3
IMU,35049,30,760,714,-6,-2,-4
IMU,35059,7,758,703,-5,-2,-4
IMU,35069,-9,769,705,-6,-2,-3
IMU,35079,-4,767,684,-5,-3,-3
IMU,35088,1,776,707,-6,-3,-2
IMU,35098,7,769,687,-6,-3,-2
IMU,35108,11,770,716,-6,-3,-2
IMU,35118,15,765,684,-6,-3,-2
IMU,35127,5,768,712,-5,-3,-2
IMU,35137,6,763,694,-6,-3,-2
IMU,35147,7,769,707,-5,-4,-2
IMU,35157,6,760,688,-6,-4,-1
IMU,35166,-9,774,701,-6,-5,-1
